segundos,temp,hum,press,ohm
1,22.04,70.92,1010.28,15642.52
2,22.04,70.92,1010.28,15456.54
3,22.05,70.93,1010.28,15559.47
4,22.03,70.96,1010.28,15456.54
5,22.04,70.97,1010.28,15415.64
6,22.04,70.97,1010.31,15684.28
7,22.03,71.06,1010.28,15497.6
8,22.02,71.07,1010.29,15559.47
9,22.01,71.08,1010.26,15663.38
10,22.02,71.11,1010.28,15621.7
11,22.03,71.16,1010.26,15415.64
12,22.02,71.2,1010.27,15538.81
13,22.03,71.27,1010.3,15354.58
14,22.02,71.41,1010.3,15559.47
15,22.02,71.51,1010.26,15456.54
16,22.02,71.5,1010.28,15559.47
17,22.01,71.34,1010.26,15374.89
18,22.01,71.22,1010.28,15497.6
19,22,71.15,1010.25,15621.7
20,22,71.12,1010.25,15642.52
21,22.02,71.15,1010.29,15559.47
22,22,71.12,1010.32,15436.07
23,22,71.12,1010.28,15497.6
24,21.99,71.21,1010.27,15747.23
25,21.99,71.28,1010.29,15559.47
26,22,71.35,1010.26,15684.28
27,22,71.41,1010.27,15456.54
28,22,71.45,1010.29,15559.47
29,22,71.47,1010.28,15497.6
30,22,71.46,1010.28,15705.22
31,22.02,72.8,1010.28,15559.47
32,22,72.86,1010.28,15559.47
33,22.01,74.28,1010.26,15415.64
34,22.02,74.76,1010.29,15293.85
35,22.01,74.11,1010.26,15456.54
36,22.01,73.54,1010.26,15334.3
37,22.02,73.31,1010.27,15415.64
38,22.01,73.11,1010.29,15642.52
39,22.02,72.9,1010.33,15456.54
40,22.01,72.58,1010.29,15580.17
41,22,72.49,1010.29,15415.64
42,22.02,72.41,1010.3,15621.7
43,22.01,72.31,1010.29,15497.6
44,22.01,72.2,1010.29,15663.38
45,22,72.12,1010.27,15415.64
46,22.01,72.09,1010.29,15456.54
47,21.99,72.03,1010.27,15415.64
48,22,72.01,1010.28,15415.64
49,21.99,72.01,1010.25,15559.47
50,21.97,72.02,1010.27,15538.81
51,21.98,72.02,1010.25,15518.18
52,21.98,72.02,1010.27,15415.64
53,21.97,72.03,1010.24,15642.52
54,21.98,72,1010.33,15538.81
55,21.97,71.87,1010.26,15559.47
56,21.95,71.79,1010.27,15559.47
57,21.96,71.8,1010.25,15456.54
58,21.95,71.84,1010.29,15726.2
59,21.96,71.87,1010.31,15456.54
60,21.95,71.88,1010.26,15374.89
61,21.95,71.85,1010.29,15726.2
62,21.95,71.8,1010.29,15415.64
63,21.96,71.79,1010.33,15663.38
64,21.95,71.79,1010.28,15642.52
65,21.94,71.92,1010.27,15415.64
66,21.96,72.01,1010.32,15663.38
67,21.96,72.01,1010.3,15415.64
68,21.97,71.97,1010.33,15538.81
69,21.95,71.89,1010.28,15559.47
70,21.95,71.78,1010.28,15334.3
71,21.95,71.7,1010.31,15705.22
72,21.94,71.63,1010.26,15559.47
73,21.95,71.61,1010.28,15580.17
74,21.95,71.65,1010.3,15477.05
75,21.95,71.7,1010.28,15705.22
76,21.94,71.69,1010.26,15415.64
77,21.96,71.64,1010.29,15559.47
78,21.97,71.62,1010.31,15497.6
79,21.96,71.62,1010.29,15747.23
80,21.94,71.57,1010.27,15436.07
81,21.94,71.56,1010.28,15456.54
82,21.95,71.58,1010.29,15559.47
83,21.95,71.62,1010.31,15747.23
84,21.94,71.62,1010.28,15415.64
85,21.95,71.61,1010.29,15559.47
86,21.94,71.62,1010.31,15477.05
87,21.93,71.62,1010.3,15415.64
88,21.95,71.63,1010.31,15559.47
89,21.94,71.64,1010.31,15663.38
90,21.94,71.65,1010.28,15559.47
91,21.93,71.67,1010.28,15334.3
92,21.95,71.72,1010.31,15580.17
93,21.95,71.74,1010.31,15559.47
94,21.93,71.76,1010.29,15395.25
95,21.94,71.81,1010.31,15456.54
96,21.92,71.84,1010.26,15334.3
97,21.93,71.89,1010.3,15559.47
98,21.92,71.92,1010.3,15684.28
99,21.92,71.92,1010.29,15559.47
100,21.92,71.89,1010.25,15213.42
101,21.92,71.9,1010.28,15395.25
102,21.92,71.91,1010.27,15395.25
103,21.93,71.96,1010.32,15559.47
104,21.93,71.99,1010.3,15559.47
105,21.92,72,1010.31,15663.38
106,21.93,72.01,1010.3,15477.05
107,21.92,72.03,1010.31,15477.05
108,21.92,72.05,1010.3,15705.22
109,21.93,72.08,1010.32,15559.47
110,21.92,72.06,1010.31,15642.52
111,21.9,72.05,1010.25,15415.64
112,21.91,72.02,1010.31,15334.3
113,21.92,72.02,1010.29,15314.06
114,21.93,72.05,1010.33,15374.89
115,21.92,72.07,1010.31,15395.25
116,21.91,72.09,1010.29,15233.47
117,21.9,72.08,1010.28,15415.64
118,21.91,72.07,1010.3,15014.94
119,21.9,72.07,1010.32,15014.94
120,21.91,72.09,1010.33,15314.06
121,21.91,72.13,1010.34,15054.34
122,21.9,72.14,1010.3,15034.62
123,21.9,72.1,1010.32,14956.1
124,21.91,72.1,1010.31,15074.09
125,21.91,72.24,1010.33,14685.79
126,21.91,73.21,1010.32,14311.36
127,21.92,74.28,1010.34,14021.3
128,21.91,74.1,1010.29,14165.3
129,21.91,73.96,1010.31,13967.83
130,21.91,73.78,1010.31,14165.3
131,21.92,73.61,1010.33,14147.19
132,21.92,73.54,1010.33,14165.3
133,21.92,74.41,1010.3,13932.33
134,21.92,74.87,1010.32,13618.38
135,21.93,75.06,1010.31,13687.3
136,21.92,74.99,1010.31,13756.7
137,21.93,74.84,1010.34,13861.71
138,21.93,74.2,1010.32,14021.3
139,21.9,73.58,1010.3,13950.06
140,21.91,73.39,1010.34,14021.3
141,21.92,73.32,1010.34,14021.3
142,21.92,73.3,1010.32,13967.83
143,21.92,73.16,1010.28,14165.3
144,21.93,73.06,1010.34,13967.83
145,21.92,72.84,1010.38,14057.11
146,21.91,72.62,1010.33,14075.07
147,21.91,72.53,1010.31,14238.07
148,21.9,72.51,1010.33,14147.19
149,21.9,72.53,1010.32,14385.17
150,21.9,72.53,1010.29,14147.19
151,21.9,72.47,1010.31,14183.45
152,21.9,72.44,1010.33,14219.83
153,21.89,72.44,1010.33,14256.34
154,21.89,72.44,1010.28,14292.99
155,21.89,72.46,1010.27,14165.3
156,21.9,72.44,1010.31,14366.67
157,21.89,72.44,1010.31,14311.36
158,21.9,72.45,1010.32,14274.65
159,21.88,72.46,1010.3,14553.2
160,21.89,72.46,1010.33,14329.76
161,21.88,72.46,1010.29,14534.4
162,21.88,72.47,1010.31,14329.76
163,21.88,72.52,1010.31,14292.99
164,21.88,72.55,1010.3,14723.99
165,21.89,72.57,1010.3,14685.79
166,21.89,72.57,1010.29,14572.04
167,21.88,72.57,1010.33,14553.2
168,21.89,72.59,1010.32,14553.2
169,21.88,72.59,1010.28,14440.88
170,21.88,72.56,1010.3,14609.82
171,21.89,72.57,1010.31,14781.54
172,21.89,72.57,1010.32,14723.99
173,21.9,72.58,1010.29,14704.87
174,21.9,72.58,1010.31,14762.32
175,21.89,72.54,1010.34,14553.2
176,21.89,72.5,1010.3,14666.75
177,21.89,72.46,1010.3,14762.32
178,21.88,72.43,1010.32,14743.13
179,21.87,72.42,1010.32,14553.2
180,21.89,72.39,1010.33,14590.91
181,21.87,72.35,1010.3,14743.13
182,21.88,72.35,1010.31,14743.13
183,21.86,72.35,1010.26,14762.32
184,21.88,72.35,1010.32,14478.19
185,21.87,72.35,1010.34,14762.32
186,21.88,72.33,1010.35,14762.32
187,21.88,72.33,1010.34,14839.41
188,21.87,72.33,1010.34,14917.06
189,21.87,72.32,1010.32,14628.76
190,21.86,72.32,1010.3,15014.94
191,21.86,72.29,1010.28,14917.06
192,21.87,72.27,1010.29,14704.87
193,21.87,72.27,1010.27,14917.06
194,21.86,72.26,1010.29,14743.13
195,21.88,72.26,1010.31,14878.16
196,21.87,72.22,1010.29,14628.76
197,21.86,72.24,1010.31,14917.06
198,21.87,72.26,1010.3,14704.87
199,21.88,72.24,1010.34,14858.77
200,21.86,72.2,1010.29,15034.62
201,21.85,72.18,1010.26,15054.34
202,21.86,72.14,1010.28,14781.54
203,21.84,72.09,1010.3,15093.89
204,21.82,72.12,1010.26,15113.72
205,21.84,72.14,1010.3,15334.3
206,21.81,72.12,1010.25,15273.69
207,21.82,72.1,1010.25,15415.64
208,21.82,72.07,1010.29,15093.89
209,21.82,72.05,1010.26,15415.64
210,21.81,72.01,1010.27,15173.43
211,21.83,71.99,1010.29,15374.89
212,21.82,71.99,1010.3,15415.64
213,21.8,72.03,1010.25,15273.69
214,21.81,72.07,1010.26,15354.58
215,21.81,72.07,1010.3,15054.34
216,21.81,72.07,1010.26,15334.3
217,21.82,72.07,1010.3,15133.58
218,21.81,72.06,1010.27,15093.89
219,21.8,72.04,1010.28,15253.56
220,178.45,100,-132.66,15133.58
221,21.82,72.04,1010.31,15054.34
222,21.82,72.04,1010.29,15093.89
223,21.81,72.04,1010.28,15093.89
224,21.8,72.04,1010.29,15093.89
225,21.8,72.05,1010.25,15014.94
226,21.81,72.08,1010.29,15253.56
227,21.79,72.07,1010.26,15273.69
228,21.8,72.08,1010.31,15093.89
229,21.8,72.08,1010.27,15034.62
230,21.8,72.08,1010.26,15093.89
231,21.78,72.05,1010.26,15233.47
232,21.79,72.03,1010.29,14975.68
233,21.79,72.01,1010.29,15014.94
234,21.78,72.01,1010.25,15093.89
235,21.79,72.02,1010.3,14956.1
236,21.79,72.02,1010.29,15293.85
237,21.77,72.02,1010.23,15113.72
238,21.78,72.03,1010.27,15233.47
239,21.78,72.02,1010.28,15273.69
240,21.77,72.03,1010.25,15093.89
241,21.77,72.04,1010.26,15233.47
242,21.78,72.05,1010.25,15374.89
243,21.76,72.06,1010.22,15213.42
244,21.77,72.07,1010.25,15395.25
245,21.78,72.06,1010.28,15354.58
246,21.78,72.06,1010.26,15173.43
247,21.78,72.05,1010.3,15173.43
248,21.77,72.05,1010.28,15293.85
249,21.77,72.05,1010.22,15395.25
250,21.78,72.07,1010.3,15193.41
251,21.78,72.56,1010.27,15415.64
252,21.77,72.77,1010.28,15477.05
253,21.78,72.72,1010.26,15213.42
